Name;Action;Industry;Company;Текущее имя
Levi Strauss;suspend all sales in Russia;Consumer Discretionary;United States;JNS
Lexmark;suspend shipments to Russia;Information Technology;United States;None
LG Electronics;suspend new product shipments to Russia;Information Technology;South Korea;None
Little Caesar's;suspend Russian franchise support;Consumer Discretionary;United States;None
Live Nation Entertainment;stop business with Russia;Communication Services;United States;None
Lladró;suspended service and shipment to Russia.  No new requests;Consumer Discretionary;Spain;None
Louis Dreyfus;suspend operations in Russia;Consumer Staples;Netherlands;None
Lumen;cut networks to Russia;Communication Services;United States;None
LUSH;suspend online sales &amp, supply to Russia ;Consumer Discretionary;United Kingdom ;Relish
M&amp,G;phased divestment of Russian assets;Financials;United Kingdom ;None
Maersk;suspend all shipments to Russia;Industrials;Denmark;None
Magna;suspend Russian plants;Consumer Discretionary;Canada;None
Magna Steyr;suspend deliveries to Russia;Consumer Discretionary;Austria;None
Mango;suspend direct operations in Russia;Consumer Discretionary;Spain;None
Manolo Blahnik;suspend sales to Russia;Consumer Discretionary;United Kingdom ;None
Marks &amp, Spencer;suspend all shipments to Russia;Consumer Staples;United Kingdom ;None
Marriott;suspend all Russian operations;Consumer Discretionary;United States;None
Marvell;suspend all sales to Russia in compliance with sanctions;Information Technology;United States;None
Mastercard;suspend operations in Russia;Information Technology;United States;None
Mattel;suspend shipments into Russia;Consumer Discretionary;United States;None
Mazda;suspend all shipments to Russia;Consumer Discretionary;Japan;None
McCormick;suspend operations in Russia;Consumer Staples;United States;None
Meggit;cease all imports and exports with Russia;Industrials;United Kingdom ;None
Meta;suspend Russian advertising;Communication Services;United States;None
Metsa;suspend operations at Russian mill;Materials;Finland;None
Metso Outotec;suspend all shipments to Russia;Industrials;Finland;None
Mettler Toledo;suspend all shipments to Russia;Health Care;United States;None
Michelin;suspended all operations in Russia;Consumer Discretionary;France;None
Micro Focus;Suspended business in Russia;Information Technology;United Kingdom;None
Micron;Suspend shipments to Russia according to sanctions;Information Technology;United States;None
Milk Hydrosan sp. z o.o.;suspended Russian contracts  ;Industrials;Poland;None
Mitsubishi Electric;stop all sales to Russia but reserve the right to return ;Industrials;Japan;None
Mitsubishi Motors;suspended operations at Russian plant;Consumer Discretionary;Japan;None
Mobatime (Elekon);stopped activity and remotely stopped clock on Russian Academy of Sciences;Consumer Discretionary;Czech Republic;None
Moncler;suspend operations in Russia;Consumer Discretionary;Italy;None
Moneygram;suspend all payments to Russia;Financials;United States;None
MongoDB;suspend sales to Russia and Belarus;Information Technology;United States;None
Mothercare;suspend operations in Russia;Consumer Discretionary;United Kingdom ;None
Motorola Solutions;suspend service orders to Russia;Information Technology;United States;None
MS &amp, AD Insurance Group;suspending operations;Financials;Japan;None
MSC;temporary suspension of all shipments to Russia;Financials;United States;None
MSC Cruises;suspend calls to Russia;Consumer Discretionary;Switzerland ;None
Munich Re;not renew current contracts &amp, suspend new business;Financials;Germany;None
MV Group;suspends all imports and orders, froze partner brands;Consumer Staples;Lithuania;None
MVRDV;suspend operations in Russia;Industrials;Netherlands;None
Namecheap;stop offering products to Russia;Information Technology;United States;None
NCR;suspend sales to Russia ;Information Technology;United States;None
NEC;suspend all future sales;Information Technology;Japan;None
Nemak;halt production in Russia;Consumer Discretionary;Mexico;None
Neste Oyj;suspend purchases of Russian oil;Energy;Finland;None
NetApp;suspend business operations in Russia;Information Technology;United States;None
New Balance;suspend shipments to Russia;Consumer Discretionary;United States;None
New Development Bank;curtail Russian access to capital markets;Financials;China;None
NHL;pause all partnerships in Russia;NGO;United States;None
Niantic Labs;products made unavailable in Russia;Information Technology;United States;None
Nikon;suspend shipments to Russia;Consumer Discretionary;Japan;None
Nintendo;suspend all sales in Russia;Communication Services;Japan;None
Nippon Telegraph and Telephone Corporation (NTT);Completed sale of business, transitioning team;Communication Services;Japan;None
Norton;suspend sales to Russia;Information Technology;United States;None
Nozbe;cut off services for Russia and Belarus;Industrials;Poland;None
NSG Group (Pilkington);suspension all trading and investment;Materials;Japan;None
Nu Skin;suspend Russian operations;Consumer Staples;United States;None
Nutanix;pause all sales and support to Russia;Information Technology;United States;None
Nvidia;suspend all sales in Russia;Information Technology;United States;None
NXP Semiconductors;suspend all shipments to and business with Russia;Information Technology;Netherlands;None
Olvi;stop exports to Russia;Consumer Staples;Finland;None
Olympus;suspend sales of Scientific Solutions portfolio and all capital investments;Information Technology;Japan;None
ON24;suspend all Russian activities;Information Technology;United States;None
OP Bank Lithuania;temporarily stop the processing of all  payments from and to Russia &amp, Belarus;Financials;Lithuania;None
OpenText;suspend all business;Information Technology;Canada;None
Oracle;suspend all operations in Russia;Information Technology;United States;None
Outokumpu;stop sales and deliveries to Russia;Materials;Finland;None
PagerDuty;suspend cooperation with Russian customers;Information Technology;United States;None
Panasonic;suspend operations in Russia;Consumer Discretionary;Japan;None
Papa John's;suspend support for all Russian franchises;Consumer Discretionary;United States;None
Par Pacific;suspend purchases of Russian crude oil;Energy;United States;None
Paramount;pause new content releases to Russia;Communication Services;United States;None
Payoneer;close Russian accounts;Information Technology;United States;None
Paypal;suspend operations in Russia;Information Technology;United States;None
Peak Design;shut down sales to Russia;Consumer Staples;United States;None
Pekao SA;transactions in Russian ruble suspended;Financials;Poland;None
Pernod Ricard;Resumed exports to Russia, then halted after calls to boycott;Consumer Staples;France;None
Pivovary Staropramen;suspended beer exports;Consumer Staples;Czech Republic;None
Playmobil;stop all sales to Russia;Consumer Discretionary;Germany;None
Plzeňský Prazdroj;suspend sales to Russia;Consumer Staples;Czech Republic;None
Podravka;stop deliveries to Russia;Consumer Staples;Croatia;None
Polaris;suspend exports to Russia;Consumer Discretionary;United States;None
Porsche;end shipments of new cars, dealerships running and warranty obligations honored;Consumer Discretionary;Germany;None
Prada;suspend operations in Russia;Consumer Discretionary;Italy;None
Preem AB;suspend purchases of Russian oil;Energy;Sweden;None
Prosus;In process of divesting from local subsidiary;Industrials;Netherlands;None
PTC;discontinue all business operations and sales;Information Technology;United States;None
Puma;suspend all shipments to Russia;Consumer Discretionary;Germany;None
PVH;suspend operations in Russia;Consumer Discretionary;United States;None
Qlik;suspend sales and services to Russia;Information Technology;Sweden;None
QS;cease activity with Russian customers &amp, cease promotion of Russian universities ;NGO;United Kingdom ;None
Qualcomm;suspend shipments to Russia;Information Technology;United States;None
Rabobank;curtail Russian access to capital markets;Financials;Netherlands;None
Radio Free Europe;suspend operations in Russia;Communication Services;Czech Republic;None
Rakovnický Pivovar;stopped exports and withdrew some products for sale in Russia;Consumer Staples;Czech Republic;None
Ralph Lauren;pause operations in Russia;Consumer Discretionary;United States;None
Raytheon;suspend operations in Russia;Industrials;United States;None
Recruit Holdings;Suspend Russian access;Industrials;Japan;None
Reima;suspend all sales into Russia;Consumer Discretionary;Finland;None
Remitly Global;stop accepting new users in Russia;Information Technology;United States;None
Renishaw;Suspended business in Russia;Industrials;United Kingdom;None
Revolut;stop top-ups for Russian cards and block transfers to Russian institutions;Financials;United Kingdom ;None
Richemont;suspend all operations in Russia;Consumer Discretionary;Switzerland ;None
Ricoh;suspend shipments to Russia;Information Technology;Japan;None
Roca;closure of plants;Consumer Discretionary;Spain;None
Rockwell Automation;suspend operations in Russia;Industrials;United States;None
Roland DG;suspend all exports and sales to Russia;Information Technology;Japan;None
Rolex;suspend exports to Russia;Consumer Discretionary;Switzerland ;None
Rolls Royce;suspend all shipments to Russia;Industrials;United Kingdom ;None
Rotork;Suspended business in Russia;Industrials;United Kingdom;None
Rovio;remove games from app stores in Russia;Information Technology;Finland;None
Royal Caribbean Cruises;Cancel summer cruise ship visits to Russia;Consumer Discretionary;United States;None
Royal Society of Chemistry;pause activities with Russian institutions;NGO;United Kingdom ;None
RTB;Suspended business in Russia;Industrials;United States;None
Safran;stop all activities in Russia;Industrials;France;None
Samsonite International;suspend operations in Russia;Consumer Discretionary;Luxembourg;None
Samsung;suspend all shipments to Russia;Information Technology;South Korea;None
Sandvik;suspend all operations in Russia;Industrials;Sweden;None
Sardina;suspend deliveries to Russia;Consumer Staples;Croatia;None
Scandinavian Tobacco;suspend most operations in Russia;Consumer Staples;Denmark;None
Scania;suspend all sales in Russia;Industrials;Sweden;None
Schwarz Group;stop sales of Russian products in stores;Consumer Staples;Germany;None
Sennheiser;suspend all business &amp, stop exports;Information Technology;Germany;None
Sharp Group;suspend shipping into Russia;Information Technology;Japan;None
Sherwin Williams;suspend business;Industrials;United States;None
Shiseido;suspend export shipments to Russia;Consumer Staples;Japan;None
Siemens Energy AG;Sold factory and stake in russian Companies;Industrials;Germany;None
Sigma Group;suspend business;Industrials;Czech Republic;None
Simba Dickie Group;suspend all business in Russia including with local independent distributor;Consumer Discretionary;Germany;None
Skytrax;suspend all audit and rating analysis ;NGO;United Kingdom ;None
Smartway Pharmaceuticals;suspended all operations, most supplies, and all advertising;Health Care;United Kingdom ;None
Sodeca;cut off all supplies to Russian partners;Industrials;Spain;None
Solvay;suspend operations in Russia;Materials;Belgium;None
SonoSim;suspend distributor relationship in Russia;Health Care;United States;None
Sony;pause release of new films in Russia, suspending console and game sales in Russia;Consumer Discretionary;Japan;None
Sportradar;suspend all new investments in Russia, including signing new customers;Consumer Discretionary;Switzerland ;None
Spotify;closed office and suspend service;Communication Services;Sweden;None
SriLankan Airlines;suspend flights between Sri Lanka and Russia;Industrials;Sri Lanka;None
SSAB;shipments and sales to Russia discontinued;Materials;Sweden;None
Stellantis;suspend operations in Russia;Consumer Discretionary;Netherlands;None
STIHL;suspend deliveries to Russia;Consumer Discretionary;Germany;None
Storytel;pause operations in Russia;Communication Services;Sweden;None
Subaru;suspend all shipments to Russia;Consumer Discretionary;Japan;None
Sumitomo Group;scaling back or suspending all Russian-related business;Financials;Japan;None
Supercell;remove games from app stores in Russia;Information Technology;Finland;None
Swagelok;Suspended business in Russia;Industrials;United States;None
Swarovski;suspend all sales in Russia;Consumer Discretionary;Liechtenstein;None
Swatch;suspend direct operations in Russia;Consumer Discretionary;Switzerland ;None
Sweco;stop all projects in Russia;Industrials;Sweden;None
Synopsys;suspend all operations in Russia;Information Technology;United States;None
Systemair;suspend all sales to Russia;Industrials;Sweden;None
T Machinery;Stopped cooperation;Industrials;Czech Republic;None
Tadano;suspension of shipments into Russia ;Industrials;Japan;None
Take-Two Interactive;halt sales, marketing and more in Russia;Communication Services;United States;None
Talgo;Ended activity, service center still exists;Industrials;Spain;None
Tanin;goods are stopped;Materials;Slovenia;None
Tata Motors;Paused sales of Jaguar Land Rover in Russia;Consumer Discretionary;India;None
Tendam;suspend activity in Russia;Consumer Discretionary;Spain;None
Thales;Suspended business in Russia;Industrials;France;None
The Navigator Company;suspend all marketing in Russia;Materials;Portugal;None
Thermo Fisher;suspend sales and manufacturing in Russia;Health Care;United States;None
TikTok;suspend operations in Russia;Communication Services;United States;None
Timken;suspend operations in Russia ;Industrials;United States;None
Torm;effectively suspend shipments to Russia;Industrials;Denmark;None
Tous;close shops and online store in Russia;Consumer Discretionary;Spain;None
Trelleborg Group;suspended deliveries and sales to Russia;Industrials;Sweden;None
Triumph;suspend Russian business;Consumer Discretionary;Switzerland ;None
TSMC;suspend all shipments to Russia;Information Technology;Taiwan;None
TTC Holding;suspended activities;Real Estate;Czech Republic;None
Twin Disc;suspend all shipments to Russia;Industrials;United States;None
Twitter;suspend certain operations in Russia;Communication Services;United States;None
Ubisoft;suspend new sales to Russia;Information Technology;France;None
UiPath;suspend sales in Russia;Information Technology;United States;None
UL;stop all work in Russia &amp, Belarus and not take on or pursue any new customer orders;Industrials;United States;None
Under Armour;suspend all shipments to Russia;Consumer Discretionary;United States;None
Uniqlo/Fast Retailing;suspend operations in Russia;Consumer Discretionary;Japan;None
Universal Music Group;Suspended all operations in Russia and closed offices;Consumer Discretionary;Netherlands;None
UPM;temporarily suspend operations and sales in Russia;Materials;Finland;None
UPS;suspend all shipments to Russia;Industrials;United States;None
Upwork;suspend operations in Russia;Industrials;United States;None
Valero Energy;suspend purchases of Russian oil;Energy;United States;None
Vattenfall;shifting energy purchases away from Russia;Utilities;Sweden;None
Veeam;pause sales in Russia;Information Technology;United States;None
Vesuvius;Suspend deliveries to Russian customers;Industrials;United Kingdom;None
VF Corporation;temporarily suspend commercial activities;Consumer Discretionary;United States;None
Victoria’s Secret;stop exports to Russia, pause sales in Russia by franchisers, suspend online sales;Consumer Discretionary;United States;None
Viessmann;stop business with Russia &amp, stop deliveries to and from Russia;Industrials;Germany;None
Vietnam Airlines;suspend flights to Russia;Industrials;Vietnam;None
Viking River Cruises;cease all operations in Russia &amp, cancel trips to Russia up to 2024;Consumer Discretionary;Switzerland ;None
Villeroy &amp, Boch;Suspended business in the region until further notice;Consumer Discretionary;Germany;None
Visa;suspend operations in Russia;Information Technology;United States;None
Vitec Group;suspend all exports and services;Consumer Discretionary;United Kingdom ;None
Viva;Suspended purchases of Russian oil;Energy;Australia;None
VMWare;suspend operations in Russia;Information Technology;United States;None
Volkswagen;suspend all shipments to Russia;Consumer Discretionary;Germany;None
Volvo Cars;suspend all shipments to Russia;Industrials;Sweden;None
Volvo Group;suspend all sales, service and production;Industrials;Sweden;None
WarnerMedia;pause new content releases;Communication Services;United States;None
Waters Corporation;suspend all sales and services into Russia;Health Care;United States;None
WEKA;suspend business and concrete deals with Russia;Information Technology;Israel;None
Western Union;suspend operations in Russia;Information Technology;United States;None
WeTransfer;suspend all services in Russia;Information Technology;United States;None
Wielton;suspended Russian exports;Industrials;Poland;None
William Grant &amp, Sons;Suspend all shipments to Russia;Consumer Staples;United Kingdom ;None
Wimbledon;Ban Russian athletes;NGO;United Kingdom ;None
Wintershall Dea AG; intends to fully exit Russia ;Energy;Germany;None
Wise PLC;Suspend Russian partnerships;Information Technology;United Kingdom ;None
Wizz Air;Air flights to/from Russia are temporarily suspended ;Industrials;Hungary ;None
Wolffkran;Stop production in Russia, maintain personnel;Industrials;Switzerland ;None
World Boxing Council;Suspend Russia from title fights;NGO;Mexico;None
World Federation of Exchanges;Suspend all Russian members and affiliates;NGO;United Kingdom ;None
Woseba;suspends deliveries to Russia;Consumer Staples;Poland;None
Wrangler (Kontoor);Suspend online sales;Consumer Discretionary;United States;None
Würth;Stop exports to Russia;Consumer Discretionary;Germany;None
WWE;Suspend all operations in Russia;Communication Services;United States;None
Xerox;Suspend shipments to Russia;Information Technology;United States;None
Yanmar;suspend operations;Consumer Discretionary;Japan;None
Yara;Suspend all imports from Russia;Materials;Norway;None
YKK Group;Suspend operations in Russia;Industrials;Japan;None
YOOX;Suspend commercial activities;Consumer Discretionary;Italy;None
Żabka;Halts orders from Russia &amp, Belarus;Consumer Staples;Poland;None
Zegna Group;Suspended all shipments to and production for Russia partners;Consumer Discretionary;Italy;None
Zendesk;Suspend all sales to Russia ;Information Technology;United States;None
Zetor;suspend all cooperation with Russia;Industrials;Czech Republic;None
ZHA;suspend operations in Russia;Industrials;United Kingdom ;None
Zynga;suspend all installations, monetization and marketing support;Communication Services;United States;None
AAK;Exited Russia.;Consumer Staples;Sweden;None
Aarsleff;Withdrew from Russia;Industrials;Danish;None
AB InBev;sold stake in joint ventures and suspend using its license in Russia;Consumer Staples;Belgium;None
ABB;Exited Market;Industrials;Switzerland ;None
Accenture;exiting Russia completely;Information Technology;Ireland;None
Accountor;withdrawal from Russia;Information Technology;Finland;None
Acerinox ;Ceased Operations;Materials;Spain;None
Acronis;suspend operations in Russia;Information Technology;Switzerland ;None
Adenza;discontinue all operations in Russia;Information Technology;United Kingdom ;None
Adidas;Permently winding down business;Consumer Discretionary;Germany;None
AECOM;exit Russia operations;Industrials;United States;None
Aegon;Sold exposure;Financials;Netherlands;None
AerCap;cease leasing activity with Russian airlines;Industrials;Ireland;None
AFRY;Fully exit Russia after selling its operations;Industrials;Sweden;None
AG Barr;cut ties with Russian market;Consumer Staples;United Kingdom ;None
Agilent;Fully stop all business in Russia;Information Technology;United States;None
Agrokoncernas;Fully stop all business in Russia;Industrials;Lithuania;None
Aimbridge | Interstate Hotels;Suspended all operations;Consumer Discretionary;United States;None
Air Lease;Fully stop all business in Russia;Industrials;United States;None
Air Liquide;Withdrawal from Russia ;Materials;France;None
Air Products;full divestiture from Russia ;Materials;United States;None
AirBaltic;leave Russian market until further notice;Industrials;Latvia;None
Akvelon;close offices in Moscow;Information Technology;United States;None
Alcoa;cease buying raw materials from, or selling our products to, Russian businesses;Materials;United States;None
Aldi;remove products from Russia;Consumer Staples;Germany;None
Allegro;bans Russian &amp, Belarussian products;Consumer Discretionary;Poland;None
Allen &amp, Overy;wind down Russian operations;Industrials;United Kingdom ;None
Amedia;Fully exit Russia after selling its operations;Communication Services;Norway;None
American Airlines;end agreements with Russian airlines;Industrials;United States;None
Ametek;closing TPM Russia subsidiary due to war in Ukraine;Industrials;United States;None
AmRest;Fully exit Russia after selling its operations;Consumer Discretionary;Spain;None
Amsted Rail;exit Russia completely;Industrials;United States;None
Amway;Ceased operations in Russia;Consumer Staples;United States;None
Ansell;Fully exit Russia after selling its operations;Industrials;Australia;None
AP7;sell off  all of Russian shares;Financials;Sweden;None
APG;sell all Russian investment;Financials;Netherlands;None
Arconic;Exited Russia;Materials;United States;None
Arendt &amp, Medernach;pull out of Russia, close Russian office and suspend select Russian client engagements;Industrials;Luxembourg;None
Arrival ;Fully exit Russia after selling its operations;Consumer Discretionary;United Kingdom;None
Asda;remove products from Russia;Consumer Staples;United Kingdom ;None
Asics;Ceased all business operations in Russia;Consumer Discretionary;Japan;None
Aspo;Exited Russia Market;Industrials;Finland;None
Assicurazioni Generali;exit Russia completely;Financials;Italy;None
Atos;exit from Russia;Information Technology;France;None
Atria;exit business in Russia;Consumer Staples;Finland;None
Autogrill;Fully exit Russia after selling its operations;Consumer Discretionary;Italy;None
Avantor;Discontinued all sales into Russia, direct and indirect;Health Care;United States;None
Avaya;Left Russia;Information Technology;United States;None
Avery Dennison;exit Russian operations;Materials;United States;None
Avid;cease all sales and support to all customers, users and resellers in Russia &amp, Belarus;Information Technology;United States;None
Aviva;Exited all equity and debt positions;Financials;United Kingdom ;None
AVL;Stopped on business, initiated divestment process;Industrials;Austria;None
Badoo;Fully stop all business in Russia;Industrials;United Kingdom;None
Baker Botts;wind down Moscow office;Industrials;United States;None
Baker Hughes;no longer provide engineering services to Russian LNG developers;Energy;United States;None
Baker McKenzie;cease operations in Russia and transfer them to an independent entity ;Industrials;United States;None
Baker Tilly;gradual wind down of operations in Russia;Financials;United Kingdom ;None
Bakoma;withdraw from Russia completely prior to aggression;Consumer Staples;Poland;None
Ball Corporation;leave Russia completely;Materials;United States;None
BaseTrack;Fully exit Russia after selling its operations;Information Technology;Estonia;None
BASF SE;wind down Russian operations ;Materials;Germany;None
BBDO;exit Russian operations;Industrials;United States;None
Beam Suntory;Fully exit Russia after selling its operations;Consumer Staples;Japan;None
Bellona;Fully exit Russia after selling its operations;NGO;Norway;None
Bentley Systems;Ended operations in Russia;Information Technology;United States;None
Bestseller;stop all sales to Russia through distributors;Consumer Discretionary;Denmark;None
Bet356;Fully stop all business in Russia;Consumer Discretionary;United Kingdom;None
BioMar;No longer doing business in Russia;Industrials;Danish;None
BlackRock;curtail Russian access to capital markets;Financials;United States;None
Blockchain.com;Fully stop all business in Russia;Information Technology;Luxembourg;None
Bonava;close operations in Russia;Real Estate;Sweden;None
Booking;Suspended operations in Russia;Consumer Discretionary;United States;None
Boreo;Fully exit Russia after selling its operations;Industrials;Finland;None
Bose;stop all product shipments;Information Technology;United States;None
Boskalis;exit Russian  Arctic LNG 2 project;Industrials;Netherlands;None
Breitling SA;Fully exit Russia after selling its operations;Consumer Discretionary;Switzerland;None
Bristol-Myers Squibb;transfer business and exit completely;Health Care;United States;None
British American Tobacco;exit Russian operations;Consumer Staples;United Kingdom ;None
British Petroleum (BP) ;Will divest from 20% Rosneft stake;Energy;United Kingdom ;None
British Standards Institution (BSI);terminate all contractual relations &amp, discontinue services in Russia;Industrials;United Kingdom ;None
Broadridge Financial Solutions;Fully exit Russia after selling its operations;Financials;United States;None
Brunel;Fully exit Russia after selling its operations;Industrials;Netherlands;None
Bryan Cave;exit Russian operations, local partners and counsel form new firms;Industrials;United States;None
BSI;Fully stop all business in Russia;Industrials;United Kingdom;None
Bumble;remove apps from app stores;Communication Services;United States;None
Bunge;Sold Russian Business;Consumer Staples;United States;None
Cadence;terminate operations in Russia;Information Technology;United States;None
Calrec;Cease all commercial activity with Russia;Consumer Discretionary;United Kingdom;None
Canara;Fully exit Russia after selling its operations;Financials;India;None
Canva;withdraw from Russia;Information Technology;Australia;None
Cargotec;Ramped Down Business;Industrials;Finland;None
Carnival;discontinue Russia itineraries ;Consumer Discretionary;United States;None
Caverion;Withdrew from Russia;Industrials;Finland;None
CBC;Cease all reporting from Russia and all presence;Communication Services;Canada;None
CCC;Left Russia. Sold Subsidary;Consumer Discretionary;Poland;None
CD Projekt;Halts all sales of products in Russia &amp, Belarus;Communication Services;Poland;None
Centrica;exit gas supply partnership with Gazprom;Utilities;United Kingdom ;None
CERN;Will end cooperation with Russia in 2024;NGO;Switzerland ;None
CFA Institute;Cease all business in Russia;NGO;United States;None
Chanel;Stopped selling in Russia and to those with intent to sell in Russia;Consumer Discretionary;France;None
Chapman Freeborn;Cease business operation in Russia;Industrials;United Kingdom ;None
Charles Schwab;Limit access to Russian capital markets;Financials;United States;None
Ciech;suspended Russian exports;Materials;Poland;None
Cisco;orderly wind down Russian operations;Information Technology;United States;None
Clarivate;exit Russian operations;Industrials;United Kingdom ;None
Cleaves;Fully stop all business in Russia;Financials;Norway;None
Clifford Chance;wind down operations in Moscow, local partners and counsels form own firm;Industrials;United Kingdom ;None
CMA CGM;Completes Russia Exit;Industrials;France;None
CMS;transfer Russian practice to local partners and counsel;Industrials;Germany;None
Colliers;discontinue business in Russia;Real Estate;Canada;None
Columbus;Withdrew from Russia;Information Technology;Denmark;None
Comarch;halts orders from Russia &amp, Belarus;Information Technology;Poland;None
Commvault;fully wind down Russian business;Information Technology;United States;None
Compass Group;permanently exit Russian market;Consumer Staples;United Kingdom ;None
Compass Mining;Terminate all Russian partnerships and business;Financials;United States;None
Coop;fully divest Russian operations Transgourmet via management buyout ;Financials;Switzerland ;None
Corteva;Stoped production and business activities in Russia;Consumer Staples;United States;None
Coty;wind down Russian business;Consumer Staples;United States;None
Covestro;Ceased Business Activity in Russia;Materials;Germany;None
CRH;withdrawal from Russia;Materials;Ireland;None
Cummins;exit Russian operations;Industrials;United States;None
Currency.com;halting operations for residents of Russian ;Financials;United Kingdom ;None
Cushman &amp, Wakefield;close office in Russia, transfer to local partner;Real Estate;United States;None
Cyfrowy Polsat;removing Russian TV channels from the offer;Communication Services;Poland;None
Daikin;End all Russian business;Industrials;Japan;None
Danfoss;exit Russia completely;Industrials;Denmark;None
DDB;exit Russian operations;Materials;United States;None
Dechert;close Russian office;Industrials;United States;None
Deezer;discontinue services in Russia;Communication Services;France;None
Deichmann;withdraw from Russia;Consumer Discretionary;Germany;None
Dell;Ceased all operations;Information Technology;United States;None
Deloitte;leaving Russia completely, local office launched own firm;Industrials;United States;None
Delta Air Lines;withdraw codeshare services with Aeroflot;Industrials;United States;None
Dentsu International;divest joint venture/leave Russia;Communication Services;United Kingdom ;None
Deugro;Fully exit Russia after selling its operations;Industrials;Germany;None
Deutsche Bank;wind down business in Russia;Financials;Germany;None
Deutsche Telekom;close Russian business;Communication Services;Germany;None
Digicert;Fully stop all business in Russia;Information Technology;United States;None
Dino Polska;removed Russian products;Consumer Staples;Poland;None
DLA Piper;withdrawing from Russia ;Industrials;United States;None
DMG Mori;Withdrew business in Russia;Industrials;Japan;None
Docker;End all business in Russia;Information Technology;United States;None
Donaldson Company;Terminated Operations;Industrials;United States;None
DPD;withdrawal from the Russian market;Industrials;Germany;None
Dr. Oetker;stops sales and production in Russia, transferred ownership of production facilities;Consumer Staples;Germany;None
Draftkings;Limit business access in Russia;Consumer Discretionary;United States;None
Duisburger Hafen;End all shipments with Russia and Belarus;Industrials;Germany;None
DWS;End Russian products;Financials;Germany;None
DXC Technology;leaving Russia completely;Information Technology;United States;None
EarthDaily Analytics;terminate operations in Russia;Industrials;United States;None
Eastnine;Fully exit Russia after selling its operations;Industrials;Sweden;None
Edeka;remove Russian food from store shelves;Consumer Staples;Germany;None
edX (2U);withdraw from all Russian partnerships;Information Technology;United States;None
Ejot;Withdrew from Russia;Industrials;Germany;None
Electronic Arts;make new game purchases unavailable in Russia ;Communication Services;United States;None
Elisa Esports;ban Russian teams from participating in tournaments;NGO;Finland;None
ELKO Group;leave Russia;Information Technology;Latvia;None
Elopak;Fully exit Russia after selling its operations;Materials;Norway;None
Emerson Electric;exit Russian business;Industrials;United States;None
Endeavour Group;Stop transacting with all Russian products;Consumer Staples;Australia;None
Enel;divest from the entire Russian stakes;Utilities;Italy;None
ENEOS;discontinue purchases of Russian crude;Energy;Japan;None
Energizer;Fully exit Russia after selling its operations;Industrials;United States;None
EnerSys;End Russian operations;Industrials;United States;None
Eni;suspend stipulation of new oil contracts, divest from investments for rubles;Energy;Italy;None
EPAM;discontinue servicing Russian customers;Information Technology;United States;None
Equinor;exit joint ventures in Russia;Energy;Norway;None
Espersen;Fully exit Russia after selling its operations;Consumer Staples;Denmark;None
Etsy;deactivate all listings from Russian sellers;Consumer Discretionary;United States;None
Euroins;Fully exit Russia after selling its operations;Financials;Bulgaria;None
Eurovision;ban on all Russian competition;NGO;United Kingdom ;None
Eversheds Sutherland;close Russia office, transfer Russia practice to local partners and counsels;Industrials;United Kingdom ;None
Evonik;withdraw from Russia;Materials;Germany;None
Expedia;Suspend bookings in Russia;Consumer Discretionary;United States;None
Exxonmobil ;exit Rosneft partnership;Energy;United States;None
EY;leaving Russia completely;Industrials;United States;None
Fantasy Premier League;Suspend all users from Russia;Consumer Discretionary;United Kingdom;None
Faurecia | Forvia;Faurecia has decided to disengage from Russia and completed depreciation of related assets;Consumer Discretionary;France;None
Fazer;exit Russia;Consumer Staples;Finland;None
Fennovoima;terminate Russian nuclear power plant project;Energy;Finland;None
FICO;exiting all work in Russia;Information Technology;United States;None
Fiskars;withdraw completely from the Russian market;Consumer Discretionary;Finland;None
Five9;Fully close all Russian operations;Information Technology;United States;None
Flowserve;exit Russia completely;Industrials;United States;None
FMC Corporation;discontinue all business and operations;Materials;United States;None
Fonterra;exit its businesses in Russia;Consumer Staples;New Zealand;None
Ford;Sold Joint Venture;Consumer Discretionary;United States;None
Formula One; terminate contract with the Russian Grand Prix promoter;Communication Services;United Kingdom ;None
Fortum;exit Russian market;Utilities;Finland;None
Freedom Holding;Sold Russian subsidiaries;Financials;Kazakhstan;None
Freshfields;closing business in Russia ;Industrials;United Kingdom ;None
Fugro;suspend all projects in Russia;Industrials;Netherlands;None
Fujifilm;Suspended some shipments;Information Technology;Japan;None
G2A;block marketplace for Russian users;Communication Services;Netherlands;None
Galp;suspend Russian oil-product purchases, eliminate Russian exposure;Energy;Portugal;None
Game Insight;Fully liquidate Russian operations;Consumer Discretionary;Lithuania;None
Gameloft;make company's games unavailable in Russia;Information Technology;France;None
Garmin;stop all future trade with Russia;Consumer Discretionary;United States;None
Gaz-System;stopped gas imports;Utilities;Poland;None
GC Rieber;Fully end all Russian business;Industrials;Norway;None
Geberit;discontinue all operations in Russia ;Industrials;Switzerland ;None
Gett;Fully terminate all Russian business;Industrials;Israel;None
Global Fashion Group;Fully exit Russia after selling its operations;Consumer Discretionary;Luxembourg;None
Global Foundries;suspend all shipments to Russia;Information Technology;United States;None
GM;suspend all shipments to Russia;Consumer Discretionary;United States;None
GoDaddy;discontinue all Russian services;Information Technology;United States;None
Goodvalley;Fully exit Russia after selling its operations;Consumer Staples;Denmark;None
Gowling;Stopped business in Russia;Industrials;Canada;None
Grant Thornton;closing business in Russia ;Industrials;United States;None
